order_number,customer_email,shop_code,shipping_address_code,status,ordered_at,currency,subtotal,discount_total,tax_total,total
ORD000094,cust0173@example.com,SHOP005,ADDR0176A,cancelled,2025-02-05T22:59:12+00:00,GBP,1516.73,0.00,124.37,1641.10
ORD000095,cust0082@example.com,SHOP002,ADDR0010B,shipped,2026-01-20T17:53:18+00:00,EUR,9146.85,457.34,712.54,9402.05
ORD000096,cust0149@example.com,SHOP004,ADDR0061A,paid,2025-09-19T07:22:43+00:00,USD,4893.17,244.66,381.18,5029.69
ORD000097,cust0115@example.com,SHOP006,ADDR0132B,cancelled,2025-12-28T19:15:28+00:00,EUR,5716.53,0.00,468.76,6185.29
ORD000098,cust0066@example.com,SHOP004,ADDR0148A,paid,2026-03-28T01:31:23+00:00,EUR,10329.86,516.49,804.70,10618.07
ORD000099,cust0178@example.com,SHOP003,ADDR0011A,paid,2025-01-24T20:31:32+00:00,GBP,4668.81,233.44,363.70,4799.07
ORD000100,cust0174@example.com,SHOP006,ADDR0154A,shipped,2025-11-26T09:27:40+00:00,EUR,2851.13,142.56,222.10,2930.67
ORD000101,cust0123@example.com,SHOP006,ADDR0178A,paid,2025-09-06T16:00:32+00:00,USD,4814.97,240.75,375.09,4949.31
ORD000102,cust0019@example.com,SHOP007,ADDR0038A,paid,2026-08-22T15:04:01+00:00,GBP,21915.19,1095.76,1707.19,22526.62
ORD000103,cust0018@example.com,SHOP006,ADDR0123A,paid,2026-03-04T13:22:45+00:00,USD,8758.03,437.90,682.25,9002.38
ORD000104,cust0030@example.com,SHOP007,ADDR0101A,draft,2026-01-21T21:35:57+00:00,GBP,10155.04,0.00,832.71,10987.75
ORD000105,cust0099@example.com,SHOP006,ADDR0043A,paid,2025-02-08T02:52:13+00:00,EUR,2634.65,131.73,205.24,2708.16
ORD000106,cust0127@example.com,SHOP004,ADDR0175A,paid,2025-03-27T08:56:44+00:00,GBP,4717.18,235.86,367.47,4848.79
ORD000107,cust0053@example.com,SHOP004,ADDR0030B,paid,2025-03-29T18:44:52+00:00,USD,2696.20,134.81,210.03,2771.42
ORD000108,cust0094@example.com,SHOP003,ADDR0043A,draft,2025-02-20T06:24:52+00:00,GBP,9429.21,0.00,773.20,10202.41
ORD000109,cust0101@example.com,SHOP003,ADDR0124A,shipped,2026-05-24T19:02:51+00:00,USD,6191.20,309.56,482.29,6363.93
ORD000110,cust0066@example.com,SHOP003,ADDR0019A,paid,2026-07-30T23:21:41+00:00,USD,1054.23,52.71,82.12,1083.64
ORD000111,cust0007@example.com,SHOP004,ADDR0162A,paid,2025-05-20T19:28:33+00:00,EUR,10917.50,545.88,850.47,11222.09
ORD000112,cust0123@example.com,SHOP002,ADDR0122B,paid,2026-07-08T21:29:50+00:00,EUR,1375.76,68.79,107.17,1414.14
ORD000113,cust0089@example.com,SHOP003,ADDR0040A,paid,2025-02-11T01:14:13+00:00,EUR,455.25,22.76,35.46,467.95
ORD000114,cust0163@example.com,SHOP004,ADDR0048A,paid,2026-07-18T09:00:13+00:00,GBP,4612.49,230.62,359.31,4741.18
ORD000115,cust0044@example.com,SHOP006,ADDR0153A,shipped,2025-05-03T20:39:21+00:00,GBP,124.36,6.22,9.69,127.83
ORD000116,cust0092@example.com,SHOP007,ADDR0129B,paid,2025-01-01T06:28:20+00:00,USD,6125.51,306.28,477.18,6296.41
ORD000117,cust0020@example.com,SHOP003,ADDR0119A,paid,2026-08-01T22:39:57+00:00,EUR,9699.83,484.99,755.62,9970.46
ORD000118,cust0124@example.com,SHOP003,ADDR0018B,draft,2025-11-28T17:35:40+00:00,GBP,666.56,0.00,54.66,721.22
ORD000119,cust0153@example.com,SHOP005,ADDR0030B,paid,2025-12-11T10:46:01+00:00,USD,10181.65,509.08,793.15,10465.72
ORD000120,cust0037@example.com,SHOP004,ADDR0127B,paid,2025-08-26T02:32:11+00:00,EUR,1153.60,57.68,89.87,1185.79
ORD000121,cust0097@example.com,SHOP006,ADDR0010A,paid,2026-04-29T17:02:43+00:00,USD,12667.07,633.35,986.77,13020.49
ORD000122,cust0151@example.com,SHOP005,ADDR0005A,paid,2026-01-21T15:27:12+00:00,GBP,15743.31,787.17,1226.40,16182.54
ORD000123,cust0093@example.com,SHOP006,ADDR0123A,paid,2026-06-10T19:22:09+00:00,GBP,6037.13,301.86,470.29,6205.56
ORD000124,cust0029@example.com,SHOP007,ADDR0020A,cancelled,2026-06-28T16:17:50+00:00,GBP,4885.24,0.00,400.59,5285.83
ORD000125,cust0070@example.com,SHOP004,ADDR0069A,paid,2026-04-29T08:29:31+00:00,GBP,4494.48,224.72,350.12,4619.88
ORD000126,cust0175@example.com,SHOP005,ADDR0178A,shipped,2025-02-08T15:48:53+00:00,USD,5946.78,297.34,463.25,6112.69
ORD000127,cust0165@example.com,SHOP004,ADDR0133A,shipped,2026-07-12T05:50:02+00:00,USD,4765.66,238.28,371.25,4898.63
ORD000128,cust0144@example.com,SHOP005,ADDR0102A,shipped,2025-09-16T06:04:01+00:00,GBP,3135.79,156.79,244.28,3223.28
ORD000129,cust0110@example.com,SHOP002,ADDR0093A,paid,2026-08-27T13:20:09+00:00,USD,2507.34,125.37,195.32,2577.29
ORD000130,cust0177@example.com,SHOP007,ADDR0041B,draft,2025-05-24T22:12:59+00:00,EUR,9963.96,0.00,817.04,10781.00
ORD000131,cust0022@example.com,SHOP007,ADDR0079A,draft,2025-09-26T22:52:54+00:00,USD,1985.60,0.00,162.82,2148.42
ORD000132,cust0011@example.com,SHOP003,ADDR0045A,paid,2025-12-30T18:44:18+00:00,GBP,1488.37,74.42,115.94,1529.89
ORD000133,cust0095@example.com,SHOP003,ADDR0007A,cancelled,2026-04-16T23:44:02+00:00,GBP,11555.81,0.00,947.58,12503.39
ORD000134,cust0140@example.com,SHOP004,ADDR0002B,paid,2025-04-09T17:29:00+00:00,USD,2117.84,105.89,164.98,2176.93
ORD000135,cust0080@example.com,SHOP005,ADDR0141B,refunded,2026-01-18T12:13:08+00:00,USD,5336.54,266.83,415.72,5485.43
ORD000136,cust0096@example.com,SHOP005,ADDR0010A,draft,2026-04-14T09:13:08+00:00,EUR,8205.35,0.00,672.84,8878.19
ORD000137,cust0119@example.com,SHOP006,ADDR0053A,paid,2025-11-30T18:11:33+00:00,GBP,998.03,49.90,77.75,1025.88
ORD000138,cust0055@example.com,SHOP003,ADDR0021A,paid,2025-11-27T17:56:17+00:00,USD,961.41,48.07,74.89,988.23
ORD000139,cust0028@example.com,SHOP003,ADDR0145A,cancelled,2026-02-16T17:24:24+00:00,EUR,1666.99,0.00,136.69,1803.68
ORD000140,cust0160@example.com,SHOP004,ADDR0078A,shipped,2025-12-14T22:10:45+00:00,USD,6578.57,328.93,512.47,6762.11
ORD000141,cust0140@example.com,SHOP005,ADDR0086B,paid,2026-08-11T03:14:35+00:00,EUR,1003.93,50.20,78.21,1031.94
ORD000142,cust0028@example.com,SHOP006,ADDR0134A,paid,2025-06-05T21:56:07+00:00,EUR,5644.82,282.24,439.73,5802.31
ORD000143,cust0107@example.com,SHOP001,ADDR0087A,shipped,2025-06-26T01:52:44+00:00,EUR,5792.57,289.63,451.24,5954.18
ORD000144,cust0159@example.com,SHOP003,ADDR0098A,cancelled,2025-11-29T23:15:33+00:00,USD,6405.16,0.00,525.22,6930.38
ORD000145,cust0115@example.com,SHOP002,ADDR0173A,paid,2025-11-05T15:59:30+00:00,USD,2000.68,100.03,155.85,2056.50
ORD000146,cust0038@example.com,SHOP006,ADDR0086A,paid,2025-08-16T22:47:59+00:00,EUR,3681.56,184.08,286.79,3784.27
ORD000147,cust0160@example.com,SHOP003,ADDR0086B,draft,2025-09-04T20:51:25+00:00,GBP,1627.12,0.00,133.42,1760.54
ORD000148,cust0022@example.com,SHOP001,ADDR0101B,paid,2026-01-07T04:15:51+00:00,EUR,8918.75,445.94,694.77,9167.58
ORD000149,cust0053@example.com,SHOP001,ADDR0128A,shipped,2025-02-19T16:27:19+00:00,EUR,10805.24,540.26,841.73,11106.71
ORD000150,cust0169@example.com,SHOP004,ADDR0010A,draft,2026-02-13T06:00:11+00:00,GBP,12994.35,0.00,1065.54,14059.89
ORD000151,cust0010@example.com,SHOP006,ADDR0167A,paid,2026-01-02T06:55:09+00:00,USD,2236.18,111.81,174.20,2298.57
ORD000152,cust0107@example.com,SHOP003,ADDR0174B,paid,2025-12-27T09:11:04+00:00,EUR,4937.58,246.88,384.64,5075.34
ORD000153,cust0155@example.com,SHOP003,ADDR0116A,cancelled,2025-08-03T05:36:59+00:00,EUR,4413.50,0.00,361.91,4775.41
ORD000154,cust0044@example.com,SHOP003,ADDR0125A,paid,2026-08-27T08:33:58+00:00,EUR,4786.26,239.31,372.85,4919.80
ORD000155,cust0006@example.com,SHOP002,ADDR0037B,cancelled,2026-06-30T04:10:40+00:00,EUR,4326.95,0.00,354.81,4681.76
ORD000156,cust0125@example.com,SHOP007,ADDR0076A,paid,2025-01-13T01:09:59+00:00,EUR,7707.52,385.38,600.42,7922.56
ORD000157,cust0035@example.com,SHOP001,ADDR0130A,draft,2026-01-22T20:47:45+00:00,GBP,6580.24,0.00,539.58,7119.82
ORD000158,cust0126@example.com,SHOP004,ADDR0061B,paid,2025-04-07T18:56:27+00:00,USD,5881.62,294.08,458.18,6045.72
ORD000159,cust0004@example.com,SHOP003,ADDR0082A,paid,2025-07-27T04:39:47+00:00,GBP,4863.03,243.15,378.83,4998.71
ORD000160,cust0095@example.com,SHOP006,ADDR0032A,draft,2026-01-18T06:56:05+00:00,EUR,7098.02,0.00,582.04,7680.06
ORD000161,cust0141@example.com,SHOP003,ADDR0114B,cancelled,2025-10-01T20:49:10+00:00,USD,10560.60,0.00,865.97,11426.57
ORD000162,cust0180@example.com,SHOP006,ADDR0008B,paid,2025-10-05T17:34:28+00:00,GBP,6621.43,331.07,515.81,6806.17
ORD000163,cust0094@example.com,SHOP003,ADDR0082B,paid,2025-07-19T21:47:53+00:00,USD,8920.54,446.03,694.91,9169.42
ORD000164,cust0172@example.com,SHOP001,ADDR0001A,paid,2025-11-04T23:22:23+00:00,GBP,9933.28,496.66,773.80,10210.42
ORD000165,cust0154@example.com,SHOP001,ADDR0150A,paid,2026-08-09T06:49:00+00:00,USD,6909.27,345.46,538.23,7102.04
ORD000166,cust0141@example.com,SHOP004,ADDR0051A,shipped,2025-07-22T23:35:48+00:00,USD,4354.24,217.71,339.20,4475.73
ORD000167,cust0125@example.com,SHOP007,ADDR0098A,shipped,2025-03-28T04:53:51+00:00,GBP,5989.88,299.49,466.61,6157.00
ORD000168,cust0026@example.com,SHOP002,ADDR0180A,paid,2025-06-08T04:42:24+00:00,EUR,10467.59,523.38,815.43,10759.64
ORD000169,cust0178@example.com,SHOP002,ADDR0052B,shipped,2026-06-24T13:32:31+00:00,GBP,4368.07,218.40,340.27,4489.94
ORD000170,cust0153@example.com,SHOP005,ADDR0124B,shipped,2025-06-24T01:14:45+00:00,USD,2898.08,144.90,225.76,2978.94
ORD000171,cust0049@example.com,SHOP004,ADDR0009A,paid,2025-12-21T01:00:13+00:00,GBP,10624.25,531.21,827.63,10920.67
ORD000172,cust0174@example.com,SHOP001,ADDR0094A,shipped,2025-03-05T07:56:07+00:00,USD,10861.42,543.07,846.10,11164.45
ORD000173,cust0015@example.com,SHOP007,ADDR0120A,paid,2025-04-05T03:28:42+00:00,GBP,441.39,22.07,34.38,453.70
ORD000174,cust0053@example.com,SHOP007,ADDR0051A,paid,2026-07-22T17:35:23+00:00,EUR,7638.07,381.90,595.01,7851.18
ORD000175,cust0114@example.com,SHOP003,ADDR0028B,shipped,2025-06-12T13:27:02+00:00,EUR,2120.35,106.02,165.18,2179.51
ORD000176,cust0173@example.com,SHOP002,ADDR0040A,shipped,2025-05-16T04:15:41+00:00,EUR,5629.87,281.49,438.57,5786.95
ORD000177,cust0039@example.com,SHOP003,ADDR0011A,draft,2026-08-24T18:15:29+00:00,GBP,12522.11,0.00,1026.81,13548.92
ORD000178,cust0080@example.com,SHOP002,ADDR0090B,paid,2025-02-23T17:11:52+00:00,EUR,691.63,34.58,53.88,710.93
ORD000179,cust0121@example.com,SHOP001,ADDR0036B,paid,2026-05-26T03:08:52+00:00,USD,1780.98,89.05,138.74,1830.67
ORD000180,cust0008@example.com,SHOP005,ADDR0076B,paid,2025-01-20T04:12:37+00:00,EUR,6143.93,307.20,478.61,6315.34
ORD000181,cust0142@example.com,SHOP002,ADDR0102A,shipped,2025-05-03T01:45:47+00:00,USD,7083.32,354.17,551.79,7280.94
ORD000182,cust0041@example.com,SHOP007,ADDR0039A,paid,2025-06-12T16:43:25+00:00,USD,5008.03,250.40,390.13,5147.76
ORD000183,cust0026@example.com,SHOP006,ADDR0165A,paid,2026-02-16T08:56:22+00:00,GBP,2479.34,123.97,193.14,2548.51
ORD000184,cust0135@example.com,SHOP001,ADDR0121A,paid,2026-05-09T10:21:56+00:00,GBP,6699.22,334.96,521.87,6886.13
ORD000185,cust0048@example.com,SHOP005,ADDR0044A,paid,2026-04-13T04:18:27+00:00,USD,2584.92,129.25,201.36,2657.03
ORD000186,cust0085@example.com,SHOP001,ADDR0086A,shipped,2025-06-23T18:56:40+00:00,EUR,3839.55,191.98,299.10,3946.67
ORD000187,cust0069@example.com,SHOP002,ADDR0023B,paid,2025-03-30T23:52:26+00:00,USD,3522.69,176.13,274.42,3620.98
ORD000188,cust0123@example.com,SHOP007,ADDR0062A,paid,2025-11-07T08:01:41+00:00,GBP,9194.97,459.75,716.29,9451.51
ORD000189,cust0099@example.com,SHOP006,ADDR0075A,paid,2025-10-28T05:33:38+00:00,USD,2591.70,129.58,201.89,2664.01
ORD000190,cust0149@example.com,SHOP002,ADDR0079A,paid,2026-07-16T11:57:35+00:00,EUR,11689.46,584.47,910.61,12015.60
ORD000191,cust0039@example.com,SHOP007,ADDR0142B,paid,2025-02-06T09:39:50+00:00,USD,13359.18,667.96,1040.68,13731.90
ORD000192,cust0155@example.com,SHOP002,ADDR0123B,paid,2025-07-10T06:05:03+00:00,USD,4606.32,230.32,358.83,4734.83
ORD000193,cust0141@example.com,SHOP007,ADDR0147A,draft,2025-04-12T03:45:46+00:00,GBP,3647.40,0.00,299.09,3946.49
ORD000194,cust0137@example.com,SHOP003,ADDR0011A,draft,2025-01-29T12:08:28+00:00,USD,1051.20,0.00,86.20,1137.40
ORD000195,cust0150@example.com,SHOP003,ADDR0105B,paid,2026-01-08T22:18:09+00:00,EUR,4823.97,241.20,375.79,4958.56
